key,variable,month,coef
,,,
,,,
26013,precip,1,2.093236078
26013,precip,2,0.778844742
26013,precip,3,0.728039551
26013,precip,4,0.361516695
26013,precip,5,-0.047392154
26013,precip,6,0.071809949
26013,precip,7,-3.902630191
26013,precip,8,-4.666468933
26013,precip,9,-0.692683489
26013,precip,10,0.575828195
26013,precip,11,0.600335841
26013,precip,12,0.569081861
26013,evap,1,-1.28357926
26013,evap,2,-1.208233783
26013,evap,3,-1.776732035
26013,evap,4,-1.397751787
26013,evap,5,-4.302659875
26013,evap,6,-3.132079613
26013,evap,7,-2.807601214
26013,evap,8,-2.374402595
26013,evap,9,0.406378214
26013,evap,10,-2.60745039
26013,evap,11,-0.435561284
26013,evap,12,-0.221400353
26013,tmax,1,1.846667843
26013,tmax,2,3.782921239
26013,tmax,3,-0.009569821
26013,tmax,4,-0.395215223
26013,tmax,5,-2.706939044
26013,tmax,6,4.000768356
26013,tmax,7,2.028710929
26013,tmax,8,5.169635809
26013,tmax,9,3.299199857
26013,tmax,10,-1.324401875
26013,tmax,11,-1.684207637
26013,tmax,12,-0.584209707
26013,tmin,1,3.881322695
26013,tmin,2,3.035407311
26013,tmin,3,1.979365202
26013,tmin,4,2.786172072
26013,tmin,5,-2.524244696
26013,tmin,6,-0.349743228
26013,tmin,7,-3.952730156
26013,tmin,8,-0.959998185
26013,tmin,9,-4.409760469
26013,tmin,10,-4.710350159
26013,tmin,11,-2.159026015
26013,tmin,12,-1.846631486
26057,precip,1,-0.384567555
26057,precip,2,-0.201518035
26057,precip,3,-0.028170417
26057,precip,4,-0.106324779
26057,precip,5,-0.165311448
26057,precip,6,-0.056097959
26057,precip,7,1.142485543
26057,precip,8,0.296248883
26057,precip,9,0.518982078
26057,precip,10,-1.172019711
26057,precip,11,-0.63882268
26057,precip,12,-1.22353008
26057,evap,1,1.452506479
26057,evap,2,-4.666161425
26057,evap,3,-4.862999553
26057,evap,4,-9.508937544
26057,evap,5,-6.747882941
26057,evap,6,-13.72401162
26057,evap,7,-4.935129387
26057,evap,8,-7.369018079
26057,evap,9,-2.654945055
26057,evap,10,-6.937256292
26057,evap,11,-2.874408149
26057,evap,12,-2.040921337
26057,tmax,1,3.954616789
26057,tmax,2,3.738584351
26057,tmax,3,5.423196114
26057,tmax,4,3.186878903
26057,tmax,5,4.351523667
26057,tmax,6,3.300041501
26057,tmax,7,0.948078276
26057,tmax,8,1.275996227
26057,tmax,9,1.584474625
26057,tmax,10,3.152553035
26057,tmax,11,3.718908322
26057,tmax,12,1.436506541
26057,tmin,1,-0.311023493
26057,tmin,2,0.103160476
26057,tmin,3,0.422048152
26057,tmin,4,-0.966660032
26057,tmin,5,-1.046172465
26057,tmin,6,0.29998905
26057,tmin,7,-0.051220236
26057,tmin,8,0.034332992
26057,tmin,9,0.199116711
26057,tmin,10,-0.120190123
26057,tmin,11,0.055362947
26057,tmin,12,-0.254878979
26164,precip,1,-1.795982794
26164,precip,2,-0.775290583
26164,precip,3,-1.733134375
26164,precip,4,0.104495247
26164,precip,5,-0.362177483
26164,precip,6,-0.573406984
26164,precip,7,-2.311432541
26164,precip,8,-1.198826709
26164,precip,9,-0.76751712
26164,precip,10,-1.612697897
26164,precip,11,-0.407146075
26164,precip,12,-1.598553121
26164,evap,1,1.249167022
26164,evap,2,0.403727904
26164,evap,3,2.02663577
26164,evap,4,-0.419031787
26164,evap,5,-0.554864655
26164,evap,6,-1.733486233
26164,evap,7,-0.801751147
26164,evap,8,-0.892658824
26164,evap,9,-1.712683446
26164,evap,10,0.393760118
26164,evap,11,1.274700903
26164,evap,12,0.260918803
26164,tmax,1,-3.864272335
26164,tmax,2,-1.557538025
26164,tmax,3,0.578090544
26164,tmax,4,-1.71657165
26164,tmax,5,-0.914121621
26164,tmax,6,2.529762402
26164,tmax,7,-1.337831029
26164,tmax,8,-1.714907882
26164,tmax,9,-0.233984795
26164,tmax,10,0.944074428
26164,tmax,11,-1.896556387
26164,tmax,12,-5.580638882
26164,tmin,1,-4.585811865
26164,tmin,2,-1.656779169
26164,tmin,3,-0.940183511
26164,tmin,4,-3.897491975
26164,tmin,5,-3.781402966
26164,tmin,6,0.043817836
26164,tmin,7,2.869767334
26164,tmin,8,2.333520012
26164,tmin,9,2.473238733
26164,tmin,10,-1.91559063
26164,tmin,11,-2.664644182
26164,tmin,12,-4.13067193
